route_id,service_id,trip_id,trip_headsign,direction_id,block_id,shape_id,wheelchair_accessible
空港線,空港箱崎_平日,空港線_平日_1_052,西唐津,1,,空港線（姪浜方面行き）,1
空港線,空港箱崎_平日,空港線_平日_1_053,姪浜,1,,空港線（姪浜方面行き）,1
空港線,空港箱崎_平日,空港線_平日_1_054,筑前前原,1,,空港線（姪浜方面行き）,1
空港線,空港箱崎_平日,空港線_平日_1_055,姪浜,1,kukohakozaki_平日_1_b0_64,空港線（姪浜方面行き）,1
空港線,空港箱崎_平日,空港線_平日_1_056,姪浜,1,,空港線（姪浜方面行き）,1
空港線,空港箱崎_平日,空港線_平日_1_057,姪浜,1,,空港線（姪浜方面行き）,1
空港線,空港箱崎_平日,空港線_平日_1_058,筑前前原,1,,空港線（姪浜方面行き）,1
空港線,空港箱崎_平日,空港線_平日_1_059,姪浜,1,,空港線（姪浜方面行き）,1
空港線,空港箱崎_平日,空港線_平日_1_060,姪浜,1,kukohakozaki_平日_1_b0_70,空港線（姪浜方面行き）,1
空港線,空港箱崎_平日,空港線_平日_1_061,筑前前原,1,,空港線（姪浜方面行き）,1
空港線,空港箱崎_平日,空港線_平日_1_062,姪浜,1,kukohakozaki_平日_1_b0_72,空港線（姪浜方面行き）,1
空港線,空港箱崎_平日,空港線_平日_1_063,姪浜,1,,空港線（姪浜方面行き）,1
空港線,空港箱崎_平日,空港線_平日_1_064,姪浜,1,,空港線（姪浜方面行き）,1
空港線,空港箱崎_平日,空港線_平日_1_065,姪浜,1,,空港線（姪浜方面行き）,1
空港線,空港箱崎_平日,空港線_平日_1_066,筑前前原,1,,空港線（姪浜方面行き）,1
空港線,空港箱崎_平日,空港線_平日_1_067,姪浜,1,kukohakozaki_平日_1_b0_78,空港線（姪浜方面行き）,1
空港線,空港箱崎_平日,空港線_平日_1_068,筑前前原,1,,空港線（姪浜方面行き）,1
空港線,空港箱崎_平日,空港線_平日_1_069,姪浜,1,,空港線（姪浜方面行き）,1
空港線,空港箱崎_平日,空港線_平日_1_070,西唐津,1,,空港線（姪浜方面行き）,1
空港線,空港箱崎_平日,空港線_平日_1_071,姪浜,1,kukohakozaki_平日_1_b0_83,空港線（姪浜方面行き）,1
空港線,空港箱崎_平日,空港線_平日_1_072,姪浜,1,,空港線（姪浜方面行き）,1
空港線,空港箱崎_平日,空港線_平日_1_073,姪浜,1,,空港線（姪浜方面行き）,1
空港線,空港箱崎_平日,空港線_平日_1_074,姪浜,1,kukohakozaki_平日_1_b0_87,空港線（姪浜方面行き）,1
空港線,空港箱崎_平日,空港線_平日_1_075,西唐津,1,,空港線（姪浜方面行き）,1
空港線,空港箱崎_平日,空港線_平日_1_076,姪浜,1,,空港線（姪浜方面行き）,1
空港線,空港箱崎_平日,空港線_平日_1_077,姪浜,1,kukohakozaki_平日_1_b0_92,空港線（姪浜方面行き）,1
空港線,空港箱崎_平日,空港線_平日_1_078,筑前前原,1,,空港線（姪浜方面行き）,1
空港線,空港箱崎_平日,空港線_平日_1_079,筑前前原,1,,空港線（姪浜方面行き）,1
空港線,空港箱崎_平日,空港線_平日_1_080,姪浜,1,kukohakozaki_平日_1_b0_96,空港線（姪浜方面行き）,1
空港線,空港箱崎_平日,空港線_平日_1_081,姪浜,1,,空港線（姪浜方面行き）,1
空港線,空港箱崎_平日,空港線_平日_1_082,姪浜,1,,空港線（姪浜方面行き）,1
空港線,空港箱崎_平日,空港線_平日_1_083,西新,1,kukohakozaki_平日_1_b0_100,空港線（姪浜方面行き）,1
空港線,空港箱崎_平日,空港線_平日_1_084,筑前前原,1,,空港線（姪浜方面行き）,1
空港線,空港箱崎_平日,空港線_平日_1_085,姪浜,1,,空港線（姪浜方面行き）,1
空港線,空港箱崎_平日,空港線_平日_1_086,西新,1,kukohakozaki_平日_1_b0_104,空港線（姪浜方面行き）,1
空港線,空港箱崎_平日,空港線_平日_1_087,筑前前原,1,,空港線（姪浜方面行き）,1
空港線,空港箱崎_平日,空港線_平日_1_088,姪浜,1,,空港線（姪浜方面行き）,1
空港線,空港箱崎_平日,空港線_平日_1_089,西新,1,kukohakozaki_平日_1_b0_108,空港線（姪浜方面行き）,1
空港線,空港箱崎_平日,空港線_平日_1_090,筑前前原,1,,空港線（姪浜方面行き）,1
空港線,空港箱崎_平日,空港線_平日_1_091,姪浜,1,,空港線（姪浜方面行き）,1
空港線,空港箱崎_平日,空港線_平日_1_092,西新,1,kukohakozaki_平日_1_b0_112,空港線（姪浜方面行き）,1
空港線,空港箱崎_平日,空港線_平日_1_093,筑前前原,1,,空港線（姪浜方面行き）,1
空港線,空港箱崎_平日,空港線_平日_1_094,姪浜,1,,空港線（姪浜方面行き）,1
空港線,空港箱崎_平日,空港線_平日_1_095,西新,1,kukohakozaki_平日_1_b0_116,空港線（姪浜方面行き）,1
空港線,空港箱崎_平日,空港線_平日_1_096,筑前前原,1,,空港線（姪浜方面行き）,1
空港線,空港箱崎_平日,空港線_平日_1_097,姪浜,1,,空港線（姪浜方面行き）,1
空港線,空港箱崎_平日,空港線_平日_1_098,西新,1,kukohakozaki_平日_1_b0_120,空港線（姪浜方面行き）,1
空港線,空港箱崎_平日,空港線_平日_1_099,西唐津,1,,空港線（姪浜方面行き）,1
空港線,空港箱崎_平日,空港線_平日_1_100,姪浜,1,,空港線（姪浜方面行き）,1
空港線,空港箱崎_平日,空港線_平日_1_101,西新,1,kukohakozaki_平日_1_b0_124,空港線（姪浜方面行き）,1
空港線,空港箱崎_平日,空港線_平日_1_102,筑前前原,1,,空港線（姪浜方面行き）,1
空港線,空港箱崎_平日,空港線_平日_1_103,姪浜,1,,空港線（姪浜方面行き）,1
空港線,空港箱崎_平日,空港線_平日_1_104,西新,1,kukohakozaki_平日_1_b0_128,空港線（姪浜方面行き）,1
空港線,空港箱崎_平日,空港線_平日_1_105,筑前前原,1,,空港線（姪浜方面行き）,1
空港線,空港箱崎_平日,空港線_平日_1_106,姪浜,1,,空港線（姪浜方面行き）,1
空港線,空港箱崎_平日,空港線_平日_1_107,西新,1,kukohakozaki_平日_1_b0_132,空港線（姪浜方面行き）,1
空港線,空港箱崎_平日,空港線_平日_1_108,筑前前原,1,,空港線（姪浜方面行き）,1
空港線,空港箱崎_平日,空港線_平日_1_109,姪浜,1,,空港線（姪浜方面行き）,1
空港線,空港箱崎_平日,空港線_平日_1_110,西新,1,kukohakozaki_平日_1_b0_136,空港線（姪浜方面行き）,1
空港線,空港箱崎_平日,空港線_平日_1_111,筑前前原,1,,空港線（姪浜方面行き）,1
空港線,空港箱崎_平日,空港線_平日_1_112,姪浜,1,,空港線（姪浜方面行き）,1
空港線,空港箱崎_平日,空港線_平日_1_113,西新,1,kukohakozaki_平日_1_b0_140,空港線（姪浜方面行き）,1
空港線,空港箱崎_平日,空港線_平日_1_114,筑前前原,1,,空港線（姪浜方面行き）,1
空港線,空港箱崎_平日,空港線_平日_1_115,姪浜,1,,空港線（姪浜方面行き）,1
空港線,空港箱崎_平日,空港線_平日_1_116,西新,1,kukohakozaki_平日_1_b0_144,空港線（姪浜方面行き）,1
空港線,空港箱崎_平日,空港線_平日_1_117,筑前前原,1,,空港線（姪浜方面行き）,1
空港線,空港箱崎_平日,空港線_平日_1_118,姪浜,1,,空港線（姪浜方面行き）,1
空港線,空港箱崎_平日,空港線_平日_1_119,西新,1,kukohakozaki_平日_1_b0_148,空港線（姪浜方面行き）,1
空港線,空港箱崎_平日,空港線_平日_1_120,筑前前原,1,,空港線（姪浜方面行き）,1
空港線,空港箱崎_平日,空港線_平日_1_121,姪浜,1,,空港線（姪浜方面行き）,1
空港線,空港箱崎_平日,空港線_平日_1_122,西新,1,kukohakozaki_平日_1_b0_152,空港線（姪浜方面行き）,1
空港線,空港箱崎_平日,空港線_平日_1_123,筑前前原,1,,空港線（姪浜方面行き）,1
空港線,空港箱崎_平日,空港線_平日_1_124,姪浜,1,,空港線（姪浜方面行き）,1
空港線,空港箱崎_平日,空港線_平日_1_125,西新,1,kukohakozaki_平日_1_b0_156,空港線（姪浜方面行き）,1
空港線,空港箱崎_平日,空港線_平日_1_126,筑前前原,1,,空港線（姪浜方面行き）,1
空港線,空港箱崎_平日,空港線_平日_1_127,姪浜,1,,空港線（姪浜方面行き）,1
空港線,空港箱崎_平日,空港線_平日_1_128,西新,1,kukohakozaki_平日_1_b1_4,空港線（姪浜方面行き）,1
空港線,空港箱崎_平日,空港線_平日_1_129,筑前前原,1,,空港線（姪浜方面行き）,1
空港線,空港箱崎_平日,空港線_平日_1_130,姪浜,1,,空港線（姪浜方面行き）,1
空港線,空港箱崎_平日,空港線_平日_1_131,西新,1,kukohakozaki_平日_1_b1_8,空港線（姪浜方面行き）,1
空港線,空港箱崎_平日,空港線_平日_1_132,筑前前原,1,,空港線（姪浜方面行き）,1
空港線,空港箱崎_平日,空港線_平日_1_133,姪浜,1,,空港線（姪浜方面行き）,1
空港線,空港箱崎_平日,空港線_平日_1_134,西新,1,kukohakozaki_平日_1_b1_12,空港線（姪浜方面行き）,1
空港線,空港箱崎_平日,空港線_平日_1_135,筑前前原,1,,空港線（姪浜方面行き）,1
空港線,空港箱崎_平日,空港線_平日_1_136,姪浜,1,,空港線（姪浜方面行き）,1
空港線,空港箱崎_平日,空港線_平日_1_137,西新,1,kukohakozaki_平日_1_b1_16,空港線（姪浜方面行き）,1
空港線,空港箱崎_平日,空港線_平日_1_138,筑前前原,1,,空港線（姪浜方面行き）,1
空港線,空港箱崎_平日,空港線_平日_1_139,姪浜,1,,空港線（姪浜方面行き）,1
空港線,空港箱崎_平日,空港線_平日_1_140,姪浜,1,kukohakozaki_平日_1_b1_20,空港線（姪浜方面行き）,1
空港線,空港箱崎_平日,空港線_平日_1_141,筑前前原,1,,空港線（姪浜方面行き）,1
空港線,空港箱崎_平日,空港線_平日_1_142,姪浜,1,,空港線（姪浜方面行き）,1
空港線,空港箱崎_平日,空港線_平日_1_143,筑前前原,1,,空港線（姪浜方面行き）,1
空港線,空港箱崎_平日,空港線_平日_1_144,姪浜,1,kukohakozaki_平日_1_b1_24,空港線（姪浜方面行き）,1
空港線,空港箱崎_平日,空港線_平日_1_145,姪浜,1,,空港線（姪浜方面行き）,1
空港線,空港箱崎_平日,空港線_平日_1_146,姪浜,1,kukohakozaki_平日_1_b1_28,空港線（姪浜方面行き）,1
空港線,空港箱崎_平日,空港線_平日_1_147,筑前前原,1,,空港線（姪浜方面行き）,1
空港線,空港箱崎_平日,空港線_平日_1_148,姪浜,1,,空港線（姪浜方面行き）,1
空港線,空港箱崎_平日,空港線_平日_1_149,姪浜,1,kukohakozaki_平日_1_b1_32,空港線（姪浜方面行き）,1
空港線,空港箱崎_平日,空港線_平日_1_150,筑前深江,1,,空港線（姪浜方面行き）,1
空港線,空港箱崎_平日,空港線_平日_1_151,姪浜,1,,空港線（姪浜方面行き）,1
空港線,空港箱崎_平日,空港線_平日_1_152,姪浜,1,kukohakozaki_平日_1_b1_34,空港線（姪浜方面行き）,1
空港線,空港箱崎_平日,空港線_平日_1_153,姪浜,1,,空港線（姪浜方面行き）,1
空港線,空港箱崎_平日,空港線_平日_1_154,西唐津,1,,空港線（姪浜方面行き）,1
空港線,空港箱崎_平日,空港線_平日_1_155,姪浜,1,,空港線（姪浜方面行き）,1
空港線,空港箱崎_平日,空港線_平日_1_156,姪浜,1,,空港線（姪浜方面行き）,1
空港線,空港箱崎_平日,空港線_平日_1_157,筑前前原,1,,空港線（姪浜方面行き）,1
空港線,空港箱崎_平日,空港線_平日_1_158,姪浜,1,kukohakozaki_平日_1_b1_42,空港線（姪浜方面行き）,1
空港線,空港箱崎_平日,空港線_平日_1_159,姪浜,1,,空港線（姪浜方面行き）,1
空港線,空港箱崎_平日,空港線_平日_1_160,姪浜,1,,空港線（姪浜方面行き）,1
空港線,空港箱崎_平日,空港線_平日_1_161,姪浜,1,kukohakozaki_平日_1_b1_46,空港線（姪浜方面行き）,1
空港線,空港箱崎_平日,空港線_平日_1_162,筑前前原,1,,空港線（姪浜方面行き）,1
空港線,空港箱崎_平日,空港線_平日_1_163,姪浜,1,,空港線（姪浜方面行き）,1
空港線,空港箱崎_平日,空港線_平日_1_164,姪浜,1,,空港線（姪浜方面行き）,1
空港線,空港箱崎_平日,空港線_平日_1_165,姪浜,1,kukohakozaki_平日_1_b1_51,空港線（姪浜方面行き）,1
空港線,空港箱崎_平日,空港線_平日_1_166,筑前前原,1,,空港線（姪浜方面行き）,1
空港線,空港箱崎_平日,空港線_平日_1_167,姪浜,1,,空港線（姪浜方面行き）,1
空港線,空港箱崎_平日,空港線_平日_1_168,姪浜,1,,空港線（姪浜方面行き）,1
空港線,空港箱崎_平日,空港線_平日_1_169,姪浜,1,,空港線（姪浜方面行き）,1
空港線,空港箱崎_平日,空港線_平日_1_170,西唐津,1,,空港線（姪浜方面行き）,1
空港線,空港箱崎_平日,空港線_平日_1_171,姪浜,1,kukohakozaki_平日_1_b1_58,空港線（姪浜方面行き）,1
空港線,空港箱崎_平日,空港線_平日_1_172,姪浜,1,,空港線（姪浜方面行き）,1
空港線,空港箱崎_平日,空港線_平日_1_173,姪浜,1,,空港線（姪浜方面行き）,1
空港線,空港箱崎_平日,空港線_平日_1_174,筑前前原,1,,空港線（姪浜方面行き）,1
空港線,空港箱崎_平日,空港線_平日_1_175,姪浜,1,kukohakozaki_平日_1_b1_63,空港線（姪浜方面行き）,1
空港線,空港箱崎_平日,空港線_平日_1_176,姪浜,1,,空港線（姪浜方面行き）,1
空港線,空港箱崎_平日,空港線_平日_1_177,姪浜,1,,空港線（姪浜方面行き）,1
空港線,空港箱崎_平日,空港線_平日_1_178,筑前前原,1,,空港線（姪浜方面行き）,1
空港線,空港箱崎_平日,空港線_平日_1_179,姪浜,1,,空港線（姪浜方面行き）,1
空港線,空港箱崎_平日,空港線_平日_1_180,姪浜,1,,空港線（姪浜方面行き）,1
空港線,空港箱崎_平日,空港線_平日_1_181,姪浜,1,kukohakozaki_平日_1_b1_70,空港線（姪浜方面行き）,1
空港線,空港箱崎_平日,空港線_平日_1_182,筑前前原,1,,空港線（姪浜方面行き）,1
空港線,空港箱崎_平日,空港線_平日_1_183,姪浜,1,,空港線（姪浜方面行き）,1
空港線,空港箱崎_平日,空港線_平日_1_184,姪浜,1,,空港線（姪浜方面行き）,1
空港線,空港箱崎_平日,空港線_平日_1_185,姪浜,1,kukohakozaki_平日_1_b1_75,空港線（姪浜方面行き）,1
空港線,空港箱崎_平日,空港線_平日_1_186,姪浜,1,,空港線（姪浜方面行き）,1
空港線,空港箱崎_平日,空港線_平日_1_187,西唐津,1,,空港線（姪浜方面行き）,1
空港線,空港箱崎_平日,空港線_平日_1_188,姪浜,1,,空港線（姪浜方面行き）,1
空港線,空港箱崎_平日,空港線_平日_1_189,姪浜,1,kukohakozaki_平日_1_b1_80,空港線（姪浜方面行き）,1
空港線,空港箱崎_平日,空港線_平日_1_190,姪浜,1,,空港線（姪浜方面行き）,1
空港線,空港箱崎_平日,空港線_平日_1_191,筑前前原,1,,空港線（姪浜方面行き）,1
空港線,空港箱崎_平日,空港線_平日_1_192,姪浜,1,,空港線（姪浜方面行き）,1
空港線,空港箱崎_平日,空港線_平日_1_193,姪浜,1,kukohakozaki_平日_1_b1_85,空港線（姪浜方面行き）,1
空港線,空港箱崎_平日,空港線_平日_1_194,姪浜,1,,空港線（姪浜方面行き）,1
空港線,空港箱崎_平日,空港線_平日_1_195,筑前前原,1,,空港線（姪浜方面行き）,1
空港線,空港箱崎_平日,空港線_平日_1_196,姪浜,1,,空港線（姪浜方面行き）,1
空港線,空港箱崎_平日,空港線_平日_1_197,姪浜,1,kukohakozaki_平日_1_b1_90,空港線（姪浜方面行き）,1
