fare_id,route_id,origin_id,destination_id
Fare260yen_017200,空港線（姪浜方面行き）,12_2,5_2
Fare300yen_017200,空港線（姪浜方面行き）,12_2,4_2
Fare300yen_017200,空港線（姪浜方面行き）,12_2,3_2
Fare300yen_017200,空港線（姪浜方面行き）,12_2,2_2
Fare300yen_017200,空港線（姪浜方面行き）,12_2,1_2
Fare200yen_017200,空港線（姪浜方面行き）,11_2,10_2
Fare200yen_017200,空港線（姪浜方面行き）,11_2,9_4
Fare200yen_017200,空港線（姪浜方面行き）,11_2,8_2
Fare260yen_017200,空港線（姪浜方面行き）,11_2,7_2
Fare260yen_017200,空港線（姪浜方面行き）,11_2,6_2
Fare260yen_017200,空港線（姪浜方面行き）,11_2,5_2
Fare260yen_017200,空港線（姪浜方面行き）,11_2,4_2
Fare300yen_017200,空港線（姪浜方面行き）,11_2,3_2
Fare300yen_017200,空港線（姪浜方面行き）,11_2,2_2
Fare300yen_017200,空港線（姪浜方面行き）,11_2,1_2
Fare200yen_017200,空港線（姪浜方面行き）,10_2,9_4
Fare200yen_017200,空港線（姪浜方面行き）,10_2,8_2
Fare200yen_017200,空港線（姪浜方面行き）,10_2,7_2
Fare260yen_017200,空港線（姪浜方面行き）,10_2,6_2
Fare260yen_017200,空港線（姪浜方面行き）,10_2,5_2
Fare260yen_017200,空港線（姪浜方面行き）,10_2,4_2
Fare260yen_017200,空港線（姪浜方面行き）,10_2,3_2
Fare300yen_017200,空港線（姪浜方面行き）,10_2,2_2
Fare300yen_017200,空港線（姪浜方面行き）,10_2,1_2
Fare200yen_017200,空港線（姪浜方面行き）,9_4,8_2
Fare200yen_017200,空港線（姪浜方面行き）,9_4,7_2
Fare200yen_017200,空港線（姪浜方面行き）,9_4,6_2
Fare260yen_017200,空港線（姪浜方面行き）,9_4,5_2
Fare260yen_017200,空港線（姪浜方面行き）,9_4,4_2
Fare260yen_017200,空港線（姪浜方面行き）,9_4,3_2
Fare260yen_017200,空港線（姪浜方面行き）,9_4,2_2
Fare300yen_017200,空港線（姪浜方面行き）,9_4,1_2
Fare200yen_017200,空港線（姪浜方面行き）,8_2,7_2
Fare200yen_017200,空港線（姪浜方面行き）,8_2,6_2
Fare200yen_017200,空港線（姪浜方面行き）,8_2,5_2
Fare260yen_017200,空港線（姪浜方面行き）,8_2,4_2
Fare260yen_017200,空港線（姪浜方面行き）,8_2,3_2
Fare260yen_017200,空港線（姪浜方面行き）,8_2,2_2
Fare300yen_017200,空港線（姪浜方面行き）,8_2,1_2
Fare200yen_017200,空港線（姪浜方面行き）,7_2,6_2
Fare200yen_017200,空港線（姪浜方面行き）,7_2,5_2
Fare260yen_017200,空港線（姪浜方面行き）,7_2,4_2
Fare260yen_017200,空港線（姪浜方面行き）,7_2,3_2
Fare260yen_017200,空港線（姪浜方面行き）,7_2,2_2
Fare260yen_017200,空港線（姪浜方面行き）,7_2,1_2
Fare200yen_017200,空港線（姪浜方面行き）,6_2,5_2
Fare200yen_017200,空港線（姪浜方面行き）,6_2,4_2
Fare260yen_017200,空港線（姪浜方面行き）,6_2,3_2
Fare260yen_017200,空港線（姪浜方面行き）,6_2,2_2
Fare260yen_017200,空港線（姪浜方面行き）,6_2,1_2
Fare200yen_017200,空港線（姪浜方面行き）,5_2,4_2
Fare200yen_017200,空港線（姪浜方面行き）,5_2,3_2
Fare260yen_017200,空港線（姪浜方面行き）,5_2,2_2
Fare260yen_017200,空港線（姪浜方面行き）,5_2,1_2
Fare200yen_017200,空港線（姪浜方面行き）,4_2,3_2
Fare200yen_017200,空港線（姪浜方面行き）,4_2,2_2
Fare260yen_017200,空港線（姪浜方面行き）,4_2,1_2
Fare200yen_017200,空港線（姪浜方面行き）,3_2,2_2
Fare200yen_017200,空港線（姪浜方面行き）,3_2,1_2
Fare200yen_017200,空港線（姪浜方面行き）,2_2,1_2
Fare200yen_017200,箱崎線（貝塚方面行き）,9_1,14_1
Fare200yen_017200,箱崎線（貝塚方面行き）,9_1,15_1
Fare200yen_017200,箱崎線（貝塚方面行き）,9_1,16_1
Fare200yen_017200,箱崎線（貝塚方面行き）,9_1,17_1
Fare260yen_017200,箱崎線（貝塚方面行き）,9_1,18_1
Fare260yen_017200,箱崎線（貝塚方面行き）,9_1,19_1
Fare200yen_017200,箱崎線（貝塚方面行き）,14_1,15_1
Fare200yen_017200,箱崎線（貝塚方面行き）,14_1,16_1
Fare200yen_017200,箱崎線（貝塚方面行き）,14_1,17_1
Fare260yen_017200,箱崎線（貝塚方面行き）,14_1,18_1
Fare260yen_017200,箱崎線（貝塚方面行き）,14_1,19_1
Fare200yen_017200,箱崎線（貝塚方面行き）,15_1,16_1
Fare200yen_017200,箱崎線（貝塚方面行き）,15_1,17_1
Fare200yen_017200,箱崎線（貝塚方面行き）,15_1,18_1
Fare260yen_017200,箱崎線（貝塚方面行き）,15_1,19_1
Fare200yen_017200,箱崎線（貝塚方面行き）,16_1,17_1
Fare200yen_017200,箱崎線（貝塚方面行き）,16_1,18_1
Fare200yen_017200,箱崎線（貝塚方面行き）,16_1,19_1
Fare200yen_017200,箱崎線（貝塚方面行き）,17_1,18_1
Fare200yen_017200,箱崎線（貝塚方面行き）,17_1,19_1
Fare200yen_017200,箱崎線（貝塚方面行き）,18_1,19_1
Fare200yen_017200,箱崎線（中洲川端方面行き）,19_2,18_2
Fare200yen_017200,箱崎線（中洲川端方面行き）,19_2,17_2
Fare200yen_017200,箱崎線（中洲川端方面行き）,19_2,16_2
Fare260yen_017200,箱崎線（中洲川端方面行き）,19_2,15_2
Fare260yen_017200,箱崎線（中洲川端方面行き）,19_2,14_2
Fare260yen_017200,箱崎線（中洲川端方面行き）,19_2,9_2
Fare200yen_017200,箱崎線（中洲川端方面行き）,18_2,17_2
Fare200yen_017200,箱崎線（中洲川端方面行き）,18_2,16_2
Fare200yen_017200,箱崎線（中洲川端方面行き）,18_2,15_2
Fare260yen_017200,箱崎線（中洲川端方面行き）,18_2,14_2
Fare260yen_017200,箱崎線（中洲川端方面行き）,18_2,9_2
Fare200yen_017200,箱崎線（中洲川端方面行き）,17_2,16_2
Fare200yen_017200,箱崎線（中洲川端方面行き）,17_2,15_2
Fare200yen_017200,箱崎線（中洲川端方面行き）,17_2,14_2
Fare200yen_017200,箱崎線（中洲川端方面行き）,17_2,9_2
Fare200yen_017200,箱崎線（中洲川端方面行き）,16_2,15_2
Fare200yen_017200,箱崎線（中洲川端方面行き）,16_2,14_2
Fare200yen_017200,箱崎線（中洲川端方面行き）,16_2,9_2
Fare200yen_017200,箱崎線（中洲川端方面行き）,15_2,14_2
Fare200yen_017200,箱崎線（中洲川端方面行き）,15_2,9_2
Fare200yen_017200,箱崎線（中洲川端方面行き）,14_2,9_2
Fare200yen_017200,七隈線（天神南方面行き）,20_1,21_1
Fare200yen_017200,七隈線（天神南方面行き）,20_1,22_1
Fare200yen_017200,七隈線（天神南方面行き）,20_1,23_1
Fare260yen_017200,七隈線（天神南方面行き）,20_1,24_1
Fare260yen_017200,七隈線（天神南方面行き）,20_1,25_1
Fare260yen_017200,七隈線（天神南方面行き）,20_1,26_1
Fare260yen_017200,七隈線（天神南方面行き）,20_1,27_1
Fare260yen_017200,七隈線（天神南方面行き）,20_1,28_1
Fare300yen_017200,七隈線（天神南方面行き）,20_1,29_1
Fare300yen_017200,七隈線（天神南方面行き）,20_1,30_1
Fare300yen_017200,七隈線（天神南方面行き）,20_1,31_1
Fare300yen_017200,七隈線（天神南方面行き）,20_1,32_1
Fare300yen_017200,七隈線（天神南方面行き）,20_1,33_1
Fare330yen_017200,七隈線（天神南方面行き）,20_1,34_1
Fare330yen_017200,七隈線（天神南方面行き）,20_1,35_1
Fare200yen_017200,七隈線（天神南方面行き）,21_1,22_1
Fare200yen_017200,七隈線（天神南方面行き）,21_1,23_1
Fare200yen_017200,七隈線（天神南方面行き）,21_1,24_1
Fare260yen_017200,七隈線（天神南方面行き）,21_1,25_1
Fare260yen_017200,七隈線（天神南方面行き）,21_1,26_1
Fare260yen_017200,七隈線（天神南方面行き）,21_1,27_1
Fare260yen_017200,七隈線（天神南方面行き）,21_1,28_1
Fare260yen_017200,七隈線（天神南方面行き）,21_1,29_1
Fare300yen_017200,七隈線（天神南方面行き）,21_1,30_1
Fare300yen_017200,七隈線（天神南方面行き）,21_1,31_1
Fare300yen_017200,七隈線（天神南方面行き）,21_1,32_1
Fare300yen_017200,七隈線（天神南方面行き）,21_1,33_1
Fare300yen_017200,七隈線（天神南方面行き）,21_1,34_1
Fare300yen_017200,七隈線（天神南方面行き）,21_1,35_1
Fare200yen_017200,七隈線（天神南方面行き）,22_1,23_1
Fare200yen_017200,七隈線（天神南方面行き）,22_1,24_1
Fare200yen_017200,七隈線（天神南方面行き）,22_1,25_1
Fare260yen_017200,七隈線（天神南方面行き）,22_1,26_1
Fare260yen_017200,七隈線（天神南方面行き）,22_1,27_1
Fare260yen_017200,七隈線（天神南方面行き）,22_1,28_1
Fare260yen_017200,七隈線（天神南方面行き）,22_1,29_1
Fare260yen_017200,七隈線（天神南方面行き）,22_1,30_1
Fare300yen_017200,七隈線（天神南方面行き）,22_1,31_1
Fare300yen_017200,七隈線（天神南方面行き）,22_1,32_1
Fare300yen_017200,七隈線（天神南方面行き）,22_1,33_1
Fare300yen_017200,七隈線（天神南方面行き）,22_1,34_1
Fare300yen_017200,七隈線（天神南方面行き）,22_1,35_1
Fare200yen_017200,七隈線（天神南方面行き）,23_1,24_1
Fare200yen_017200,七隈線（天神南方面行き）,23_1,25_1
Fare200yen_017200,七隈線（天神南方面行き）,23_1,26_1
Fare260yen_017200,七隈線（天神南方面行き）,23_1,27_1
Fare260yen_017200,七隈線（天神南方面行き）,23_1,28_1
Fare260yen_017200,七隈線（天神南方面行き）,23_1,29_1
Fare260yen_017200,七隈線（天神南方面行き）,23_1,30_1
Fare260yen_017200,七隈線（天神南方面行き）,23_1,31_1
Fare300yen_017200,七隈線（天神南方面行き）,23_1,32_1
Fare300yen_017200,七隈線（天神南方面行き）,23_1,33_1
Fare300yen_017200,七隈線（天神南方面行き）,23_1,34_1
Fare300yen_017200,七隈線（天神南方面行き）,23_1,35_1
Fare200yen_017200,七隈線（天神南方面行き）,24_1,25_1
Fare200yen_017200,七隈線（天神南方面行き）,24_1,26_1
Fare200yen_017200,七隈線（天神南方面行き）,24_1,27_1
Fare260yen_017200,七隈線（天神南方面行き）,24_1,28_1
Fare260yen_017200,七隈線（天神南方面行き）,24_1,29_1
Fare260yen_017200,七隈線（天神南方面行き）,24_1,30_1
Fare260yen_017200,七隈線（天神南方面行き）,24_1,31_1
Fare260yen_017200,七隈線（天神南方面行き）,24_1,32_1
Fare300yen_017200,七隈線（天神南方面行き）,24_1,33_1
Fare300yen_017200,七隈線（天神南方面行き）,24_1,34_1
Fare300yen_017200,七隈線（天神南方面行き）,24_1,35_1
Fare200yen_017200,七隈線（天神南方面行き）,25_1,26_1
Fare200yen_017200,七隈線（天神南方面行き）,25_1,27_1
Fare200yen_017200,七隈線（天神南方面行き）,25_1,28_1
Fare260yen_017200,七隈線（天神南方面行き）,25_1,29_1
Fare260yen_017200,七隈線（天神南方面行き）,25_1,30_1
Fare260yen_017200,七隈線（天神南方面行き）,25_1,31_1
Fare260yen_017200,七隈線（天神南方面行き）,25_1,32_1
Fare260yen_017200,七隈線（天神南方面行き）,25_1,33_1
Fare260yen_017200,七隈線（天神南方面行き）,25_1,34_1
Fare300yen_017200,七隈線（天神南方面行き）,25_1,35_1
Fare200yen_017200,七隈線（天神南方面行き）,26_1,27_1
Fare200yen_017200,七隈線（天神南方面行き）,26_1,28_1
Fare200yen_017200,七隈線（天神南方面行き）,26_1,29_1
Fare260yen_017200,七隈線（天神南方面行き）,26_1,30_1
Fare260yen_017200,七隈線（天神南方面行き）,26_1,31_1
Fare260yen_017200,七隈線（天神南方面行き）,26_1,32_1
Fare260yen_017200,七隈線（天神南方面行き）,26_1,33_1
Fare260yen_017200,七隈線（天神南方面行き）,26_1,34_1
Fare300yen_017200,七隈線（天神南方面行き）,26_1,35_1
Fare200yen_017200,七隈線（天神南方面行き）,27_1,28_1
Fare200yen_017200,七隈線（天神南方面行き）,27_1,29_1
Fare200yen_017200,七隈線（天神南方面行き）,27_1,30_1
Fare260yen_017200,七隈線（天神南方面行き）,27_1,31_1
Fare260yen_017200,七隈線（天神南方面行き）,27_1,32_1
Fare260yen_017200,七隈線（天神南方面行き）,27_1,33_1
Fare260yen_017200,七隈線（天神南方面行き）,27_1,34_1
Fare260yen_017200,七隈線（天神南方面行き）,27_1,35_1
Fare200yen_017200,七隈線（天神南方面行き）,28_1,29_1
Fare200yen_017200,七隈線（天神南方面行き）,28_1,30_1
Fare200yen_017200,七隈線（天神南方面行き）,28_1,31_1
Fare260yen_017200,七隈線（天神南方面行き）,28_1,32_1
Fare260yen_017200,七隈線（天神南方面行き）,28_1,33_1
Fare260yen_017200,七隈線（天神南方面行き）,28_1,34_1
Fare260yen_017200,七隈線（天神南方面行き）,28_1,35_1
Fare200yen_017200,七隈線（天神南方面行き）,29_1,30_1
Fare200yen_017200,七隈線（天神南方面行き）,29_1,31_1
Fare200yen_017200,七隈線（天神南方面行き）,29_1,32_1
Fare260yen_017200,七隈線（天神南方面行き）,29_1,33_1
Fare260yen_017200,七隈線（天神南方面行き）,29_1,34_1
Fare260yen_017200,七隈線（天神南方面行き）,29_1,35_1
Fare200yen_017200,七隈線（天神南方面行き）,30_1,31_1
Fare200yen_017200,七隈線（天神南方面行き）,30_1,32_1
Fare200yen_017200,七隈線（天神南方面行き）,30_1,33_1
Fare200yen_017200,七隈線（天神南方面行き）,30_1,34_1
Fare260yen_017200,七隈線（天神南方面行き）,30_1,35_1
Fare200yen_017200,七隈線（天神南方面行き）,31_1,32_1
Fare200yen_017200,七隈線（天神南方面行き）,31_1,33_1
Fare200yen_017200,七隈線（天神南方面行き）,31_1,34_1
Fare200yen_017200,七隈線（天神南方面行き）,31_1,35_1
Fare200yen_017200,七隈線（天神南方面行き）,32_1,33_1
Fare200yen_017200,七隈線（天神南方面行き）,32_1,34_1
Fare200yen_017200,七隈線（天神南方面行き）,32_1,35_1
Fare200yen_017200,七隈線（天神南方面行き）,33_1,34_1
Fare200yen_017200,七隈線（天神南方面行き）,33_1,35_1
Fare200yen_017200,七隈線（天神南方面行き）,34_1,35_1
Fare200yen_017200,七隈線（橋本方面行き）,35_2,34_2
Fare200yen_017200,七隈線（橋本方面行き）,35_2,33_2
Fare200yen_017200,七隈線（橋本方面行き）,35_2,32_2
Fare200yen_017200,七隈線（橋本方面行き）,35_2,31_2
Fare260yen_017200,七隈線（橋本方面行き）,35_2,30_2
Fare260yen_017200,七隈線（橋本方面行き）,35_2,29_2
Fare260yen_017200,七隈線（橋本方面行き）,35_2,28_2
Fare260yen_017200,七隈線（橋本方面行き）,35_2,27_2
Fare300yen_017200,七隈線（橋本方面行き）,35_2,26_2
Fare300yen_017200,七隈線（橋本方面行き）,35_2,25_2
Fare300yen_017200,七隈線（橋本方面行き）,35_2,24_2
Fare300yen_017200,七隈線（橋本方面行き）,35_2,23_2
Fare300yen_017200,七隈線（橋本方面行き）,35_2,22_2
Fare300yen_017200,七隈線（橋本方面行き）,35_2,21_2
Fare330yen_017200,七隈線（橋本方面行き）,35_2,20_2
Fare200yen_017200,七隈線（橋本方面行き）,34_2,33_2
Fare200yen_017200,七隈線（橋本方面行き）,34_2,32_2
Fare200yen_017200,七隈線（橋本方面行き）,34_2,31_2
Fare200yen_017200,七隈線（橋本方面行き）,34_2,30_2
Fare260yen_017200,七隈線（橋本方面行き）,34_2,29_2
Fare260yen_017200,七隈線（橋本方面行き）,34_2,28_2
Fare260yen_017200,七隈線（橋本方面行き）,34_2,27_2
Fare260yen_017200,七隈線（橋本方面行き）,34_2,26_2
Fare260yen_017200,七隈線（橋本方面行き）,34_2,25_2
Fare300yen_017200,七隈線（橋本方面行き）,34_2,24_2
Fare300yen_017200,七隈線（橋本方面行き）,34_2,23_2
Fare300yen_017200,七隈線（橋本方面行き）,34_2,22_2
Fare300yen_017200,七隈線（橋本方面行き）,34_2,21_2
Fare330yen_017200,七隈線（橋本方面行き）,34_2,20_2
Fare200yen_017200,七隈線（橋本方面行き）,33_2,32_2
Fare200yen_017200,七隈線（橋本方面行き）,33_2,31_2
Fare200yen_017200,七隈線（橋本方面行き）,33_2,30_2
Fare260yen_017200,七隈線（橋本方面行き）,33_2,29_2
Fare260yen_017200,七隈線（橋本方面行き）,33_2,28_2
Fare260yen_017200,七隈線（橋本方面行き）,33_2,27_2
